product_gender,product_width,main_product_name,main_style_number,link_b,style_number_b,thumbnail_b,link_c,style_number_c,thumbnail_c,link_d,style_number_d,thumbnail_d
Male,Standard,GEL-KAYANO 28,1011B189,/us/en-us/gel-kayano-28/p/ANA_1011B426-100.html?width=Standard,1011B426-100,https://images.asics.com/is/image/asics/1011B426_100_SR_RT_GLB?$colourSwatch$,,,,,,
Male,Standard,GEL-KAYANO 28,1011B426,/us/en-us/gel-kayano-28/p/ANA_1011B189-001.html?width=Standard,1011B189-001,https://images.asics.com/is/image/asics/1011B189_001_SR_RT_GLB?$colourSwatch$,/us/en-us/GEL-KAYANO-28/p/ANA_1012B257-100.html,1012B257-100,https://images.asics.com/is/image/asics/1012B257_100_SR_RT_GLB?$colourSwatch$,/us/en-us/GEL-KAYANO-28/p/ANA_1012B256-400.html,1012B256-400,https://images.asics.com/is/image/asics/1012B256_400_SR_RT_GLB?$colourSwatch$
Female,Standard,GEL-KAYANO 28,1012B047,/us/en-us/GEL-KAYANO-28/p/ANA_1012B275-400.html?width=Standard,1012B275-400,https://images.asics.com/is/image/asics/1012B275_400_SR_RT_GLB?$colourSwatch$,/us/en-us/GEL-KAYANO-28/p/ANA_1012B256-400.html,1012B256-400,https://images.asics.com/is/image/asics/1012B256_400_SR_RT_GLB?$colourSwatch$,,,
Female,Standard,GEL-KAYANO 28,1012B156,/us/en-us/GEL-KAYANO-28/p/ANA_1012B257-100.html?width=Standard,1012B257-100,https://images.asics.com/is/image/asics/1012B257_100_SR_RT_GLB?$colourSwatch$,/us/en-us/GEL-KAYANO-28/p/ANA_1012B156-960.html,1012B156-960,https://images.asics.com/is/image/asics/1012B156_960_SR_RT_GLB?$colourSwatch$,,,
Female,Standard,GEL-KAYANO 28,1012B256,/us/en-us/GEL-KAYANO-28/p/ANA_1012B257-100.html?width=Standard,1012B257-100,https://images.asics.com/is/image/asics/1012B257_100_SR_RT_GLB?$colourSwatch$,/us/en-us/GEL-KAYANO-28/p/ANA_1012B156-960.html,1012B156-960,https://images.asics.com/is/image/asics/1012B156_960_SR_RT_GLB?$colourSwatch$,,,
Female,Standard,GEL-KAYANO 28,1012B257,/us/en-us/GEL-KAYANO-28/p/ANA_1012B256-400.html?width=Standard,1012B256-400,https://images.asics.com/is/image/asics/1012B256_400_SR_RT_GLB?$colourSwatch$,/us/en-us/GEL-KAYANO-28/p/ANA_1012B256-400.html,1012B256-400,https://images.asics.com/is/image/asics/1012B256_400_SR_RT_GLB?$colourSwatch$,/us/en-us/GEL-KAYANO-28/p/ANA_1012B156-960.html,1012B156-960,https://images.asics.com/is/image/asics/1012B156_960_SR_RT_GLB?$colourSwatch$
Female,Standard,GEL-KAYANO 28,1012B275,/us/en-us/GEL-KAYANO-28/p/ANA_1012B257-100.html?width=Standard,1012B257-100,https://images.asics.com/is/image/asics/1012B257_100_SR_RT_GLB?$colourSwatch$,,,,,,
Male,Standard,GEL-KAYANO 28 LITE-SHOW,1011B303,/us/en-us/GEL-KAYANO-28-LITE-SHOW/p/ANA_1011B341-700.html?width=Standard,1011B341-700,https://images.asics.com/is/image/asics/1011B341_700_SR_RT_GLB?$colourSwatch$,,,,,,
Male,Standard,GEL-KAYANO 28 LITE-SHOW,1011B341,/us/en-us/GEL-KAYANO-28-LITE-SHOW/p/ANA_1011B303-001.html?width=Standard,1011B303-001,https://images.asics.com/is/image/asics/1011B303_001_SR_RT_GLB?$colourSwatch$,,,,,,
Female,Standard,GEL-KAYANO 28 LITE-SHOW,1012B149,/us/en-us/GEL-KAYANO-28-LITE-SHOW/p/ANA_1012B187-700.html?width=Standard,1012B187-700,https://images.asics.com/is/image/asics/1012B187_700_SR_RT_GLB?$colourSwatch$,,,,,,
Female,Standard,GEL-KAYANO 28 LITE-SHOW,1012B187,/us/en-us/GEL-KAYANO-28-LITE-SHOW/p/ANA_1012B149-020.html?width=Standard,1012B149-020,https://images.asics.com/is/image/asics/1012B149_020_SR_RT_GLB?$colourSwatch$,,,,,,
Male,Standard,GEL-KAYANO 28 PLATINUM,1011B291,/us/en-us/GEL-KAYANO-28-PLATINUM/p/ANA_1011B342-020.html?width=Standard,1011B342-020,https://images.asics.com/is/image/asics/1011B342_020_SR_RT_GLB?$colourSwatch$,,,,,,
Male,Standard,GEL-KAYANO 28 PLATINUM,1011B342,/us/en-us/GEL-KAYANO-28-PLATINUM/p/ANA_1011B291-020.html?width=Standard,1011B291-020,https://images.asics.com/is/image/asics/1011B291_020_SR_RT_GLB?$colourSwatch$,,,,,,